岁岁年年柿柿红,7.8
问题餐厅,7.6
婚姻历险记,7.7
三生三世十里桃花,8.2
我们的少年时代,7.5
大唐荣耀,8.4
双世宠妃,8.1
楚乔传,7.5
因为遇见你,7.3
欢乐颂2,7.6
致我们单纯的小美好,8.6
浪花一朵朵,7.7
花谢花飞花满天,6.5
我的前半生,8.1
大唐荣耀2,8.1
夏至未至,7.1
娘亲舅大,7.3
我的！体育老师,8.4
鬼吹灯之黄皮子坟,7.5
人民的名义,9.0
急诊科医生,7.9
御姐归来,7.2
那年花开月正圆,8.6
柒个我,7.6
择天记,7.0
恶魔少爷第二季,7.6
稍息立正我爱你,8.6
暖爱,7.3
龙珠传奇,7.3
极光之恋,6.2
岁岁年年柿柿红,7.8
问题餐厅,7.6
婚姻历险记,7.7
三生三世十里桃花,8.2
我们的少年时代,7.5
大唐荣耀,8.4
双世宠妃,8.1
楚乔传,7.5
因为遇见你,7.3
欢乐颂2,7.6
致我们单纯的小美好,8.6
浪花一朵朵,7.7
花谢花飞花满天,6.5
我的前半生,8.1
大唐荣耀2,8.1
夏至未至,7.1
娘亲舅大,7.3
我的！体育老师,8.4
鬼吹灯之黄皮子坟,7.5
人民的名义,9.0
急诊科医生,7.9
御姐归来,7.2
那年花开月正圆,8.6
柒个我,7.6
择天记,7.0
恶魔少爷第二季,7.6
稍息立正我爱你,8.6
暖爱,7.3
龙珠传奇,7.3
极光之恋,6.2
